id,order_id,product_id,product_name,quantity,unit_price,total_price,selected_modifiers
06d8c883-ab49-4ec5-940f-9b3bc0ee8298,#008,,Ramen tonkotsu cha-shu,1,15.5,15.5,"{""mods"":[],""note"":""""}"
12c2449a-7a67-4d08-ba03-556e72f8aeb7,#001,,Ramen tonkotsu cha-shu,3,15.5,46.5,"{""mods"":[],""note"":""""}"
1a1578a7-e391-4c62-b616-7bfa71ef7244,#002,,Ramen tonkotsu cha-shu,1,15.5,15.5,"{""mods"":[],""note"":""""}"
1abd71c1-b1d5-4aa7-8e67-fd7e51f4eca8,#008,,Mazé men (ramen sans bouillon),1,15,15,"{""mods"":[],""note"":""""}"
21126e66-4a1f-41e3-81e3-c5190d0238f0,#002,,"GYOZA PAR 6 poulet, crevettes, legumes",1,7.51,7.51,"{""mods"":[],""note"":""""}"
256ab587-d6c3-42d0-9acd-833c0ab5c54b,#008,,Gyoza poulet - legumes,1,6.37,6.37,"{""mods"":[],""note"":""""}"
28fe995a-2b9f-4230-a702-26d7dc04c0d2,#008,,"GYOZA PAR 6 poulet, crevettes, legumes",1,7.51,7.51,"{""mods"":[],""note"":""""}"
394202f2-e0ec-40de-a9be-1173174f1603,#005,,KARA AGE,1,10.36,10.36,"{""mods"":[],""note"":""""}"
3c76eb39-5a8d-4ef9-8563-6fae8afd91da,#008,,KOROKKE PAR 3,2,5.04,10.08,"{""mods"":[],""note"":""""}"
3cf78cb7-0f36-431a-b6c2-42dc65a2669d,#002,,EBI FRIED,1,10.36,10.36,"{""mods"":[],""note"":""""}"
3f2a2289-3d5b-4465-982d-76b2856b2e96,#006,,KARA AGE,1,10.36,10.36,"{""mods"":[],""note"":""""}"
4741d4db-5176-41eb-83b1-b0d2977123cb,#007,,YAKITORI CLASSIQUE,1,6.18,6.18,"{""mods"":[],""note"":""""}"
5d232477-4f6b-44ca-8c78-89e6aed21de1,#001,,Ramen tonkotsu cha-shu,1,16.5,16.5,"{""mods"":[{""id"":""supp_oeuf"",""name"":""Supplément Oeuf"",""quantity"":1,""priceAdjustment"":1}],""note"":""""}"
7048b3c4-ad1d-4856-b44d-0664eaae5c93,#005,,EBI FRIED,1,10.36,10.36,"{""mods"":[],""note"":""""}"
72da6453-06b7-480c-9b2c-927c7d69fa6e,#006,,Ramen tonkotsu cha-shu,1,15.5,15.5,"{""mods"":[],""note"":""Bellivier""}"
746e2e0d-ff81-46b4-a161-297292193c8b,#004,,Ramen tonkotsu classic,1,18,18,"{""mods"":[{""id"":""supp_omori"",""name"":""Taille Omori (Grand)"",""quantity"":1,""priceAdjustment"":4}],""note"":""""}"
74abbb05-f417-4905-97bd-96df94ee96ac,#001,,Mazé men (ramen sans bouillon),1,15,15,"{""mods"":[],""note"":""""}"
7783f29f-12a8-48a7-9431-846158a370a3,#007,,Ramen tonkotsu cha-shu,2,15.5,31,"{""mods"":[],""note"":""""}"
78d2cb1a-34d1-44ac-8003-f09cb52f3f49,#007,,Gyoza poulet - legumes,1,6.37,6.37,"{""mods"":[],""note"":""""}"
82a8b8f3-139c-443a-929e-c1ff1e5fe919,#004,,KARA AGE,1,10.36,10.36,"{""mods"":[],""note"":""""}"
a128d5a6-5e95-4ea1-b194-849b6be1d21e,#008,,KARA AGE,1,10.36,10.36,"{""mods"":[],""note"":""""}"
a2f33bb5-53eb-4207-ae72-d6b519e5e92d,#004,,EBI FRIED,1,10.36,10.36,"{""mods"":[],""note"":""""}"
ab9e91f0-6e67-4280-bee6-3e84fde5d437,#004,,Ramen tonkotsu shoyu,1,15.5,15.5,"{""mods"":[],""note"":""""}"
b070a6df-eab8-478f-afb4-ab561e44b7d5,#003,,EBI FRIED,1,10.36,10.36,"{""mods"":[],""note"":""""}"
b0be4b99-30f2-4c33-b9d6-7cbd7ffd22c7,#004,,Mazé men (ramen sans bouillon),1,15,15,"{""mods"":[],""note"":""""}"
b53c29ab-ced1-443d-9bdf-16f440ac72ce,#003,,Ramen tonkotsu classic,1,14,14,"{""mods"":[],""note"":""""}"
b5f42a54-15f5-49ab-8970-04e572e4e512,#008,,Ramen tonkotsu cha-shu,2,15.5,31,"{""mods"":[],""note"":""""}"
ca74027b-ab80-45e4-b9d2-1a29941d43c0,#006,,Harumaki par 2,2,3.9,7.8,"{""mods"":[],""note"":""""}"
e2b69e95-fa51-4a5a-86ea-db01cfff8a3f,#008,,KARA AGE,1,10.36,10.36,"{""mods"":[],""note"":""""}"
f6b602a0-1703-4123-a133-163b237fdcfb,#005,,Ramen tonkotsu cha-shu,1,15.5,15.5,"{""mods"":[],""note"":""19h Novelli""}"
