id,name,price,category,description,image,available,modifier_groups,tags
2152,SUSHI SHAKE par paire,4.18,Sushi,,https://www.sushi-aixsud.com/25-large_default/sushi-shake.jpg,true,,[]
2153,SUSHI MAGURO par paire,4.66,Sushi,,https://www.sushi-aixsud.com/26-large_default/sushi-maguro.jpg,true,,[]
2155,SUSHI TAI - (vendus par paire),4.18,Sushi,,https://www.sushi-aixsud.com/24-large_default/sushi-tai.jpg,true,,[]
2159,SUSHI IKURA GUNKAN par paire,7.51,Sushi,,https://www.sushi-aixsud.com/502-large_default/sushi-ikura-gunkan.jpg,true,,[]
2160,SUSHI EBI par paire,4.47,Sushi,,https://www.sushi-aixsud.com/594-large_default/sushi-ebi.jpg,true,,[]
2162,SUSHI UNAGI par paire,6.56,Sushi,,https://www.sushi-aixsud.com/177-large_default/sushi-unagi.jpg,true,,[]
2164,SUSHI TAMAGO par paire,4.09,Sushi,,https://www.sushi-aixsud.com/607-large_default/sushi-tamago-par-paire.jpg,true,,[]
2175,SASHIMI SHAKE par paire,4.18,Sashimi,,https://www.sushi-aixsud.com/55-large_default/sashimi-shake-par-paire.jpg,true,,[]
2176,SASHIMI MAGURO par paire,4.37,Sashimi,,https://www.sushi-aixsud.com/179-large_default/sashimi-maguro-par-paire.jpg,true,,[]
2178,SASHIMI TAI par paire,4.18,Sashimi,,https://www.sushi-aixsud.com/651-large_default/sashimi-tai.jpg,true,,[]
2182,SASHIMI IKURA par paire,6.56,Sashimi,,https://www.sushi-aixsud.com/57-large_default/sashimi-ikura-par-paire.jpg,true,,[]
2183,SASHIMI EBI par paire,4.37,Sashimi,,https://www.sushi-aixsud.com/59-large_default/sashimi-ebi-par-paire.jpg,true,,[]
2185,SASHIMI UNAGI par paire,6.37,Sashimi,,https://www.sushi-aixsud.com/734-large_default/sashimi-unagi-par-paire.jpg,true,,[]
2187,SASHIMI TAMAGO par paire,4.09,Sashimi,,https://www.sushi-aixsud.com/649-large_default/sashimi-tamago-par-paire.jpg,true,,[]
2194,TEKKA MAKI par 6,5.51,Maki et rolls,,https://www.sushi-aixsud.com/84-large_default/tekka-maki-par-6.jpg,true,,[]
